,LSOA code,LSOA name (Eng),WIMD 2025 overall quintile,population,households,average_household_size,air_quality,congestion,dampness,diet_change,excess_cold,excess_heat,hassle_costs,noise,physical_activity,road_repairs,road_safety,sum
101,W01001800,Llanishen 10,2,1417,640,2.21,0.999504784,0.0,0.0155593,0.106175108,0.228955631,3.06e-06,-1.426710889,0.0,1.066740579,0.0,0.0,0.990227568
102,W01001802,Llanrumney 1,2,1694,742,2.28,1.194891394,0.0,0.017094598,0.126930582,0.276534138,3.72e-06,-1.705609202,0.0,1.347028951,0.0,0.0,1.256874178
103,W01001803,Llanrumney 2,1,1729,700,2.47,1.219579233,0.0,0.01957651,0.129553116,0.235533542,3.59e-06,-1.740849064,0.0,1.403908561,0.0,0.0,1.267305484
104,W01001804,Llanrumney 3,1,1612,628,2.57,1.137051317,0.0,0.016956905,0.120786365,0.218124517,3.37e-06,-1.623047247,0.0,1.293178676,0.0,0.0,1.1630539
105,W01001805,Llanrumney 4,2,1570,671,2.34,1.107425908,0.0,0.01755883,0.117639326,0.226640617,3.28e-06,-1.580759418,0.0,1.438263824,0.0,0.0,1.326772366
106,W01001806,Llanrumney 5,3,1723,811,2.12,1.21534703,0.0,0.021641438,0.129103537,0.262929329,3.6e-06,-1.734807945,0.0,1.423119196,0.0,0.0,1.317336186
107,W01001807,Llanrumney 6,1,1640,619,2.65,1.156785717,0.0,0.018805041,0.122884389,0.080922974,1.87e-06,-1.651239134,0.0,1.020158073,0.0,0.0,0.74831893
108,W01001808,Llanrumney 7,1,1699,637,2.67,1.199124165,0.0,0.017867594,0.127305228,0.057502792,1.53e-06,-1.710643471,0.0,0.925265443,0.0,0.0,0.616423279
109,W01001809,Pentwyn 1,3,1223,533,2.29,0.862663621,0.0,0.011525126,0.091638786,0.204729974,2.7e-06,-1.231381378,0.0,1.012383597,0.0,0.0,0.951562425
110,W01001810,Pentwyn 2,1,1687,632,2.67,1.189953825,0.0,0.017038388,0.126406079,0.173993943,3.01e-06,-1.69856123,0.0,1.03979829,0.0,0.0,0.848632304
111,W01001811,Pentwyn 3,1,1601,547,2.93,1.129276785,0.0,0.015177647,0.119962137,0.060033794,1.57e-06,-1.611971865,0.0,0.873581432,0.0,0.0,0.586061495
