co-benefit_type,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,sum,population,households,LSOA code,LSOA name (Eng),WIMD 2025 overall rank ,WIMD 2025 overall decile,WIMD 2025 overall quintile
air_quality,0.00333309,0.005393258,0.00694949,0.008983477,0.011587047,0.015376191,0.019600568,0.025279487,0.031575797,0.037765228,0.044661434,0.05117233,0.05744133,0.063487883,0.069189346,0.074573709,0.079194051,0.083378814,0.087058337,0.090196903,0.092771683,0.094295611,0.094456378,0.09390563,0.09330496,0.09273041,1.427662442,2024,864,W01001697,Adamsdown 4,410,3,2
congestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,864,W01001697,Adamsdown 4,410,3,2
dampness,0.0,2.39e-07,5.36e-05,0.00041801,0.000426325,0.000292267,0.000184143,0.000224345,0.00026337,0.00068785,0.000679467,0.001146953,0.000844295,0.000855686,0.001072286,0.001152603,0.001191715,0.001209837,0.001202451,0.001268755,0.001267154,0.001281954,0.001319621,0.001310209,0.001337314,0.001328441,0.02101889,2024,864,W01001697,Adamsdown 4,410,3,2
diet_change,0.0,0.0,0.007150234,0.007184533,0.007131956,0.007053067,0.006966413,0.006877632,0.006788449,0.006699448,0.006610911,0.006523113,0.006436293,0.006350541,0.006265903,0.006182408,0.006100014,0.006018656,0.005938291,0.005858861,0.005780213,0.005702194,0.005624721,0.005547701,0.005471052,0.005394714,0.151657318,2024,864,W01001697,Adamsdown 4,410,3,2
excess_cold,0.0,3.84e-05,9.37e-05,0.000167204,0.000441254,0.001672962,0.001102835,0.002181114,0.002682919,0.003587679,0.003770042,0.006074005,0.006047546,0.006483946,0.007728053,0.008292344,0.009107999,0.010416258,0.010704915,0.011897986,0.012686731,0.012570563,0.012439529,0.012300489,0.013285403,0.013625141,0.169399017,2024,864,W01001697,Adamsdown 4,410,3,2
excess_heat,0.0,-1.81e-09,3.51e-09,-3.82e-09,-1.89e-09,-2.91e-08,2.3e-09,5.18e-08,4.36e-08,1.43e-09,1.6e-07,8.98e-08,5.52e-09,1.2e-07,1.13e-07,3.11e-07,1.45e-07,1.59e-07,1.69e-07,1.82e-07,1.99e-07,2.02e-07,2.05e-07,2.06e-07,2.11e-07,3.48e-07,2.89e-06,2024,864,W01001697,Adamsdown 4,410,3,2
hassle_costs,-0.041687066,-0.049753634,-0.057604126,-0.065423372,-0.073112502,-0.080657505,-0.081294741,-0.0818902,-0.082448251,-0.082962757,-0.083440415,-0.083810496,-0.084134236,-0.084406503,-0.084629227,-0.084796095,-0.084739234,-0.084631091,-0.084471402,-0.084265951,-0.084026865,-0.083637356,-0.083215627,-0.082763912,-0.082282814,-0.08178536,-2.037870738,2024,864,W01001697,Adamsdown 4,410,3,2
noise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,864,W01001697,Adamsdown 4,410,3,2
physical_activity,0.012560595,0.017986003,0.022135142,0.0256093,0.028833745,0.031964989,0.033386606,0.034773199,0.036108027,0.037418029,0.038712606,0.039894829,0.041043271,0.04217459,0.04328009,0.044355807,0.045320255,0.046248509,0.047156649,0.048040251,0.048886541,0.049628922,0.050326974,0.051016955,0.05168383,0.052312786,1.0208585,2024,864,W01001697,Adamsdown 4,410,3,2
road_repairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,864,W01001697,Adamsdown 4,410,3,2
road_safety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,864,W01001697,Adamsdown 4,410,3,2
sum,-0.025793381,-0.026335736,-0.021221956,-0.023060852,-0.024692177,-0.024298058,-0.020054174,-0.012554371,-0.005029645,0.003195478,0.010994205,0.021000824,0.027678505,0.034946263,0.042906564,0.049761087,0.056174945,0.062641142,0.06758941,0.072996987,0.077365656,0.07984209,0.080951801,0.081317278,0.082799956,0.08360648,0.75272832,2024,864,W01001697,Adamsdown 4,410,3,2
air_quality,0.004472641,0.005694639,0.007317716,0.009428337,0.012110517,0.016006036,0.020441928,0.026475263,0.033163697,0.039738553,0.047072668,0.053988331,0.060647172,0.067069836,0.073126133,0.078849176,0.083757011,0.088202514,0.092111755,0.095446831,0.098184055,0.099805434,0.099980077,0.099399551,0.098765983,0.098160214,1.509416068,2148,947,W01001698,Adamsdown 5,216,2,1
congestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148,947,W01001698,Adamsdown 5,216,2,1
dampness,2.29e-08,2.11e-07,3.67e-07,0.00051226,0.000533431,0.000140884,2.3e-05,2.31e-05,2.63e-05,0.00052481,0.00052395,0.00066315,0.000518916,0.000525126,0.000868199,0.000873417,0.00086687,0.000860366,0.000859051,0.000852756,0.000846644,0.000840465,0.00083439,0.000828971,0.0008231,0.000817553,0.01418731,2148,947,W01001698,Adamsdown 5,216,2,1
diet_change,0.0,0.0,0.007588292,0.007624692,0.007568894,0.007485172,0.007393209,0.007298989,0.007204342,0.007109889,0.007015928,0.00692275,0.006830611,0.006739606,0.006649782,0.006561172,0.00647373,0.006387388,0.0063021,0.006217803,0.006134337,0.006051538,0.005969318,0.00588758,0.005806235,0.00572522,0.160948577,2148,947,W01001698,Adamsdown 5,216,2,1
excess_cold,2.27e-06,2.47e-05,4.15e-05,6.14e-05,0.000120089,0.000158877,0.00016541,0.00076521,0.000789967,0.000327465,0.00092723,0.000984979,0.000942348,0.00109937,0.001278066,0.001348327,0.00135338,0.001348323,0.001496418,0.001489018,0.002250845,0.00222333,0.002192725,0.002235597,0.002204399,0.002196117,0.02802736,2148,947,W01001698,Adamsdown 5,216,2,1
excess_heat,2.51e-10,-1.55e-09,3e-09,-1.62e-09,6.82e-10,-1.44e-08,2.7e-09,2.4e-08,1.94e-08,2.25e-09,6.2e-08,3.26e-08,4.01e-10,3.9e-08,3.47e-08,9.98e-08,4.3e-08,4.49e-08,4.76e-08,4.99e-08,5.24e-08,5.25e-08,5.23e-08,5.29e-08,5.24e-08,8.95e-08,8.41e-07,2148,947,W01001698,Adamsdown 5,216,2,1
hassle_costs,-0.044241017,-0.052801781,-0.061133232,-0.069431523,-0.077591727,-0.085598972,-0.086275249,-0.086907189,-0.087499428,-0.088045456,-0.088552377,-0.088945131,-0.089288705,-0.089577652,-0.089814021,-0.089991113,-0.089930768,-0.089815999,-0.089646528,-0.089428489,-0.089174756,-0.088761384,-0.088313818,-0.087834429,-0.087323856,-0.086795925,-2.162720525,2148,947,W01001698,Adamsdown 5,216,2,1
noise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148,947,W01001698,Adamsdown 5,216,2,1
